dataset_id,variable_id,scenario,period,file_path,units,dataset_type,nodata_value,enabled,file_format,resolution
KBDImax_SSP370_20412070,KBDImax,ssp370,2041-2070,rasters/future/ssp370/2041-2070/KBDImax_ssp370_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP370_20712100,KBDImax,ssp370,2071-2100,rasters/future/ssp370/2071-2100/KBDImax_ssp370_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP585_20112040,KBDImax,ssp585,2011-2040,rasters/future/ssp585/2011-2040/KBDImax_ssp585_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP585_20412070,KBDImax,ssp585,2041-2070,rasters/future/ssp585/2041-2070/KBDImax_ssp585_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP585_20712100,KBDImax,ssp585,2071-2100,rasters/future/ssp585/2071-2100/KBDImax_ssp585_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_BASE_19812010,KBDIp95,baseline,1981-2010,rasters/baseline/KBDIp95_historical_1981-2010.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP126_20112040,KBDIp95,ssp126,2011-2040,rasters/future/ssp126/2011-2040/KBDIp95_ssp126_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP126_20412070,KBDIp95,ssp126,2041-2070,rasters/future/ssp126/2041-2070/KBDIp95_ssp126_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP126_20712100,KBDIp95,ssp126,2071-2100,rasters/future/ssp126/2071-2100/KBDIp95_ssp126_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP245_20112040,KBDIp95,ssp245,2011-2040,rasters/future/ssp245/2011-2040/KBDIp95_ssp245_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP245_20412070,KBDIp95,ssp245,2041-2070,rasters/future/ssp245/2041-2070/KBDIp95_ssp245_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP245_20712100,KBDIp95,ssp245,2071-2100,rasters/future/ssp245/2071-2100/KBDIp95_ssp245_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP370_20112040,KBDIp95,ssp370,2011-2040,rasters/future/ssp370/2011-2040/KBDIp95_ssp370_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP370_20412070,KBDIp95,ssp370,2041-2070,rasters/future/ssp370/2041-2070/KBDIp95_ssp370_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP370_20712100,KBDIp95,ssp370,2071-2100,rasters/future/ssp370/2071-2100/KBDIp95_ssp370_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP585_20112040,KBDIp95,ssp585,2011-2040,rasters/future/ssp585/2011-2040/KBDIp95_ssp585_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP585_20412070,KBDIp95,ssp585,2041-2070,rasters/future/ssp585/2041-2070/KBDIp95_ssp585_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDIp95_SSP585_20712100,KBDIp95,ssp585,2071-2100,rasters/future/ssp585/2071-2100/KBDIp95_ssp585_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_BASE_19812010,KBDI400days_eq365,baseline,1981-2010,rasters/baseline/KBDI400days_eq365_historical_1981-2010.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP126_20112040,KBDI400days_eq365,ssp126,2011-2040,rasters/future/ssp126/2011-2040/KBDI400days_eq365_ssp126_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP126_20412070,KBDI400days_eq365,ssp126,2041-2070,rasters/future/ssp126/2041-2070/KBDI400days_eq365_ssp126_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP126_20712100,KBDI400days_eq365,ssp126,2071-2100,rasters/future/ssp126/2071-2100/KBDI400days_eq365_ssp126_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP245_20112040,KBDI400days_eq365,ssp245,2011-2040,rasters/future/ssp245/2011-2040/KBDI400days_eq365_ssp245_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP245_20412070,KBDI400days_eq365,ssp245,2041-2070,rasters/future/ssp245/2041-2070/KBDI400days_eq365_ssp245_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP245_20712100,KBDI400days_eq365,ssp245,2071-2100,rasters/future/ssp245/2071-2100/KBDI400days_eq365_ssp245_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP370_20112040,KBDI400days_eq365,ssp370,2011-2040,rasters/future/ssp370/2011-2040/KBDI400days_eq365_ssp370_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP370_20412070,KBDI400days_eq365,ssp370,2041-2070,rasters/future/ssp370/2041-2070/KBDI400days_eq365_ssp370_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP370_20712100,KBDI400days_eq365,ssp370,2071-2100,rasters/future/ssp370/2071-2100/KBDI400days_eq365_ssp370_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP585_20112040,KBDI400days_eq365,ssp585,2011-2040,rasters/future/ssp585/2011-2040/KBDI400days_eq365_ssp585_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP585_20412070,KBDI400days_eq365,ssp585,2041-2070,rasters/future/ssp585/2041-2070/KBDI400days_eq365_ssp585_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI400days_eq365_SSP585_20712100,KBDI400days_eq365,ssp585,2071-2100,rasters/future/ssp585/2071-2100/KBDI400days_eq365_ssp585_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_BASE_19812010,KBDI600days_eq365,baseline,1981-2010,rasters/baseline/KBDI600days_eq365_historical_1981-2010.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP126_20112040,KBDI600days_eq365,ssp126,2011-2040,rasters/future/ssp126/2011-2040/KBDI600days_eq365_ssp126_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP126_20412070,KBDI600days_eq365,ssp126,2041-2070,rasters/future/ssp126/2041-2070/KBDI600days_eq365_ssp126_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP126_20712100,KBDI600days_eq365,ssp126,2071-2100,rasters/future/ssp126/2071-2100/KBDI600days_eq365_ssp126_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP245_20112040,KBDI600days_eq365,ssp245,2011-2040,rasters/future/ssp245/2011-2040/KBDI600days_eq365_ssp245_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP245_20412070,KBDI600days_eq365,ssp245,2041-2070,rasters/future/ssp245/2041-2070/KBDI600days_eq365_ssp245_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP245_20712100,KBDI600days_eq365,ssp245,2071-2100,rasters/future/ssp245/2071-2100/KBDI600days_eq365_ssp245_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP370_20112040,KBDI600days_eq365,ssp370,2011-2040,rasters/future/ssp370/2011-2040/KBDI600days_eq365_ssp370_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP370_20412070,KBDI600days_eq365,ssp370,2041-2070,rasters/future/ssp370/2041-2070/KBDI600days_eq365_ssp370_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP370_20712100,KBDI600days_eq365,ssp370,2071-2100,rasters/future/ssp370/2071-2100/KBDI600days_eq365_ssp370_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP585_20112040,KBDI600days_eq365,ssp585,2011-2040,rasters/future/ssp585/2011-2040/KBDI600days_eq365_ssp585_2011-2040.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP585_20412070,KBDI600days_eq365,ssp585,2041-2070,rasters/future/ssp585/2041-2070/KBDI600days_eq365_ssp585_2041-2070.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDI600days_eq365_SSP585_20712100,KBDI600days_eq365,ssp585,2071-2100,rasters/future/ssp585/2071-2100/KBDI600days_eq365_ssp585_2071-2100.tif,equivalent days/year,continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
SPEI3_DROUGHT_FREQ_BASE_19812010,SPEI3_DROUGHT_FREQ,baseline,1981-2010,rasters/baseline/SPEI3_droughtfreq_historical_1981-2010.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP126_20112040,SPEI3_DROUGHT_FREQ,ssp126,2011-2040,rasters/future/ssp126/2011-2040/SPEI3_droughtfreq_ssp126_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP126_20412070,SPEI3_DROUGHT_FREQ,ssp126,2041-2070,rasters/future/ssp126/2041-2070/SPEI3_droughtfreq_ssp126_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP126_20712100,SPEI3_DROUGHT_FREQ,ssp126,2071-2100,rasters/future/ssp126/2071-2100/SPEI3_droughtfreq_ssp126_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP245_20112040,SPEI3_DROUGHT_FREQ,ssp245,2011-2040,rasters/future/ssp245/2011-2040/SPEI3_droughtfreq_ssp245_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP245_20412070,SPEI3_DROUGHT_FREQ,ssp245,2041-2070,rasters/future/ssp245/2041-2070/SPEI3_droughtfreq_ssp245_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP245_20712100,SPEI3_DROUGHT_FREQ,ssp245,2071-2100,rasters/future/ssp245/2071-2100/SPEI3_droughtfreq_ssp245_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP370_20112040,SPEI3_DROUGHT_FREQ,ssp370,2011-2040,rasters/future/ssp370/2011-2040/SPEI3_droughtfreq_ssp370_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP370_20412070,SPEI3_DROUGHT_FREQ,ssp370,2041-2070,rasters/future/ssp370/2041-2070/SPEI3_droughtfreq_ssp370_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP370_20712100,SPEI3_DROUGHT_FREQ,ssp370,2071-2100,rasters/future/ssp370/2071-2100/SPEI3_droughtfreq_ssp370_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP585_20112040,SPEI3_DROUGHT_FREQ,ssp585,2011-2040,rasters/future/ssp585/2011-2040/SPEI3_droughtfreq_ssp585_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP585_20412070,SPEI3_DROUGHT_FREQ,ssp585,2041-2070,rasters/future/ssp585/2041-2070/SPEI3_droughtfreq_ssp585_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI3_DROUGHT_FREQ_SSP585_20712100,SPEI3_DROUGHT_FREQ,ssp585,2071-2100,rasters/future/ssp585/2071-2100/SPEI3_droughtfreq_ssp585_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_BASE_19812010,SPEI6_DROUGHT_FREQ,baseline,1981-2010,rasters/baseline/SPEI6_droughtfreq_historical_1981-2010.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP126_20112040,SPEI6_DROUGHT_FREQ,ssp126,2011-2040,rasters/future/ssp126/2011-2040/SPEI6_droughtfreq_ssp126_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP126_20412070,SPEI6_DROUGHT_FREQ,ssp126,2041-2070,rasters/future/ssp126/2041-2070/SPEI6_droughtfreq_ssp126_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP126_20712100,SPEI6_DROUGHT_FREQ,ssp126,2071-2100,rasters/future/ssp126/2071-2100/SPEI6_droughtfreq_ssp126_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP245_20112040,SPEI6_DROUGHT_FREQ,ssp245,2011-2040,rasters/future/ssp245/2011-2040/SPEI6_droughtfreq_ssp245_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP245_20412070,SPEI6_DROUGHT_FREQ,ssp245,2041-2070,rasters/future/ssp245/2041-2070/SPEI6_droughtfreq_ssp245_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP245_20712100,SPEI6_DROUGHT_FREQ,ssp245,2071-2100,rasters/future/ssp245/2071-2100/SPEI6_droughtfreq_ssp245_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP370_20112040,SPEI6_DROUGHT_FREQ,ssp370,2011-2040,rasters/future/ssp370/2011-2040/SPEI6_droughtfreq_ssp370_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP370_20412070,SPEI6_DROUGHT_FREQ,ssp370,2041-2070,rasters/future/ssp370/2041-2070/SPEI6_droughtfreq_ssp370_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP370_20712100,SPEI6_DROUGHT_FREQ,ssp370,2071-2100,rasters/future/ssp370/2071-2100/SPEI6_droughtfreq_ssp370_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP585_20112040,SPEI6_DROUGHT_FREQ,ssp585,2011-2040,rasters/future/ssp585/2011-2040/SPEI6_droughtfreq_ssp585_2011-2040.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP585_20412070,SPEI6_DROUGHT_FREQ,ssp585,2041-2070,rasters/future/ssp585/2041-2070/SPEI6_droughtfreq_ssp585_2041-2070.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
SPEI6_DROUGHT_FREQ_SSP585_20712100,SPEI6_DROUGHT_FREQ,ssp585,2071-2100,rasters/future/ssp585/2071-2100/SPEI6_droughtfreq_ssp585_2071-2100.tif,% of months,continuous,-9999,TRUE,tif,0.008333 x 0.008333 degrees
